,DHSID,LAT_GPS,LON_GPS,CLUSTNUM,URBAN_RURA,wealth_index,education_completed_yrs,electricity_access,RADIUS(KM)
0,PH201700000386,18.2718920623,120.56454229,386.0,R,33653.0,8.521739130434783,0.9565217391304348,10
1,PH201700000387,18.2021947961,120.568506409,387.0,U,35672.56,10.08,1.0,2
2,PH201700000388,18.0739141937,120.691112849,388.0,R,32203.46153846154,7.230769230769231,1.0,10
3,PH201700000389,18.061016514,120.510203187,389.0,R,50831.333333333336,11.2,1.0,10
4,PH201700000390,18.1556941707,120.663073749,390.0,R,73691.28,8.12,1.0,10
5,PH201700000391,18.5980694666,120.809958614,391.0,R,23821.47619047619,8.476190476190476,0.9523809523809524,10
6,PH201700000392,18.0644372882,120.562544581,392.0,R,129365.1304347826,13.0,1.0,10
7,PH201700000393,18.0055436892,120.686633458,393.0,R,23761.625,10.416666666666666,0.875,10
8,PH201700000394,18.0719116079,120.690170759,394.0,R,117566.52173913045,10.565217391304348,0.9565217391304348,10
9,PH201700000395,18.1915145136,120.54143737,395.0,R,18831.04,8.08,1.0,10
10,PH201700000396,18.0688892715,120.479627771,396.0,R,9332.074074074077,7.407407407407407,0.9629629629629628,10
11,PH201700000397,18.0578880779,120.570660651,397.0,R,79277.15384615384,10.153846153846152,1.0,10
12,PH201700000398,17.6527015281,120.421009268,398.0,R,68617.36363636363,8.545454545454545,1.0,10
13,PH201700000399,17.4858073955,120.50980577,399.0,R,29328.545454545456,11.454545454545457,0.9545454545454546,10
14,PH201700000400,17.8558189237,120.529194124,400.0,R,-23625.35,7.9,1.0,10
15,PH201700000401,17.2119043165,120.456076464,401.0,R,67406.08,10.52,0.96,10
16,PH201700000402,17.1003825664,120.483535192,402.0,R,18617.96,9.28,1.0,10
17,PH201700000403,17.1712317843,120.427206418,403.0,R,52240.375,10.083333333333334,1.0,10
19,PH201700000405,17.5760365586,120.395132647,405.0,U,138422.83333333334,11.77777777777778,1.0,2
20,PH201700000406,17.5546091237,120.396341056,406.0,R,102529.26315789472,11.947368421052632,1.0,10
21,PH201700000407,17.1411628676,120.520291037,407.0,R,36888.454545454544,9.772727272727272,1.0,10
22,PH201700000408,17.2419094938,120.510864551,408.0,R,34265.375,8.083333333333334,1.0,10
23,PH201700000409,16.9373278669,120.739453169,409.0,R,-10979.052631578948,5.631578947368421,1.0,10
24,PH201700000410,16.8241961505,120.43325905,410.0,R,70591.86363636363,10.227272727272728,1.0,10
